Season,DefensiveTouchdowns
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,2.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,2.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,2.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,1.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,2.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,2.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,0.00
2025,1.00
